region,portail,date,nombre_annonces
FRANCE,EXPLORIMMO,2016-04-01,411948
FRANCE,LE_BON_COIN,2016-04-01,889730
FRANCE,LOGIC_IMMO,2016-04-01,731419
FRANCE,OUEST_FRANCE_IMMO,2016-04-01,173649
FRANCE,ANNONCES_JAUNES,2016-04-01,524993
FRANCE,PARU_VENDU,2016-04-01,281555
FRANCE,SE_LOGER,2016-04-01,905056
FRANCE,TOP_ANNONCES,2016-04-01,410369
FRANCE,PAP,2016-04-01,0
FRANCE,IMMONOT,2016-04-01,61371
FRANCE,BELLES_DEMEURES,2016-04-01,19541
FRANCE,PROPRIETES_DE_FRANCE,2016-04-01,15648
FRANCE,LUX_RESIDENCE,2016-04-01,24772
FRANCE,BIEN_ICI,2016-04-01,915349
FRANCE,A_VENDRE_A_LOUER,2016-04-01,573591
FRANCE,EXPLORIMMO,2016-05-01,412968
FRANCE,LE_BON_COIN,2016-05-01,913933
FRANCE,LOGIC_IMMO,2016-05-01,725605
FRANCE,OUEST_FRANCE_IMMO,2016-05-01,181851
FRANCE,ANNONCES_JAUNES,2016-05-01,524556
FRANCE,PARU_VENDU,2016-05-01,284999
FRANCE,SE_LOGER,2016-05-01,918272
FRANCE,TOP_ANNONCES,2016-05-01,437193
FRANCE,PAP,2016-05-01,0
FRANCE,IMMONOT,2016-05-01,61556
FRANCE,BELLES_DEMEURES,2016-05-01,19836
FRANCE,PROPRIETES_DE_FRANCE,2016-05-01,15850
FRANCE,LUX_RESIDENCE,2016-05-01,27684
FRANCE,BIEN_ICI,2016-05-01,968593
FRANCE,A_VENDRE_A_LOUER,2016-05-01,581764
FRANCE,EXPLORIMMO,2016-06-01,413534
FRANCE,LE_BON_COIN,2016-06-01,940771
FRANCE,LOGIC_IMMO,2016-06-01,746740
FRANCE,OUEST_FRANCE_IMMO,2016-06-01,183906
FRANCE,ANNONCES_JAUNES,2016-06-01,531098
FRANCE,PARU_VENDU,2016-06-01,288166
FRANCE,SE_LOGER,2016-06-01,916137
FRANCE,TOP_ANNONCES,2016-06-01,418057
FRANCE,PAP,2016-06-01,0
FRANCE,IMMONOT,2016-06-01,61046
FRANCE,BELLES_DEMEURES,2016-06-01,20187
FRANCE,PROPRIETES_DE_FRANCE,2016-06-01,14254
FRANCE,LUX_RESIDENCE,2016-06-01,28908
FRANCE,BIEN_ICI,2016-06-01,986537
FRANCE,A_VENDRE_A_LOUER,2016-06-01,591269
FRANCE,EXPLORIMMO,2016-07-01,407502
FRANCE,LE_BON_COIN,2016-07-01,954797
FRANCE,LOGIC_IMMO,2016-07-01,754567
FRANCE,OUEST_FRANCE_IMMO,2016-07-01,181489
FRANCE,ANNONCES_JAUNES,2016-07-01,524263
FRANCE,PARU_VENDU,2016-07-01,312060
FRANCE,SE_LOGER,2016-07-01,919814
FRANCE,TOP_ANNONCES,2016-07-01,180188
FRANCE,PAP,2016-07-01,0
FRANCE,IMMONOT,2016-07-01,60539
FRANCE,BELLES_DEMEURES,2016-07-01,20267
FRANCE,PROPRIETES_DE_FRANCE,2016-07-01,15726
FRANCE,LUX_RESIDENCE,2016-07-01,28640
FRANCE,BIEN_ICI,2016-07-01,1007081
FRANCE,A_VENDRE_A_LOUER,2016-07-01,586703
FRANCE,EXPLORIMMO,2016-08-01,395473
FRANCE,LE_BON_COIN,2016-08-01,926345
FRANCE,LOGIC_IMMO,2016-08-01,765636
FRANCE,OUEST_FRANCE_IMMO,2016-08-01,176059
FRANCE,ANNONCES_JAUNES,2016-08-01,494982
FRANCE,PARU_VENDU,2016-08-01,312212
FRANCE,SE_LOGER,2016-08-01,890041
FRANCE,TOP_ANNONCES,2016-08-01,183189
FRANCE,PAP,2016-08-01,0
FRANCE,IMMONOT,2016-08-01,60210
FRANCE,BELLES_DEMEURES,2016-08-01,19937
FRANCE,PROPRIETES_DE_FRANCE,2016-08-01,16468
FRANCE,LUX_RESIDENCE,2016-08-01,28375
FRANCE,BIEN_ICI,2016-08-01,887816
FRANCE,A_VENDRE_A_LOUER,2016-08-01,565921
FRANCE,EXPLORIMMO,2016-09-01,373628
FRANCE,LE_BON_COIN,2016-09-01,887567
FRANCE,LOGIC_IMMO,2016-09-01,733324
FRANCE,OUEST_FRANCE_IMMO,2016-09-01,168099
FRANCE,ANNONCES_JAUNES,2016-09-01,475379
FRANCE,PARU_VENDU,2016-09-01,306196
FRANCE,SE_LOGER,2016-09-01,823562
FRANCE,TOP_ANNONCES,2016-09-01,175673
FRANCE,PAP,2016-09-01,0
FRANCE,IMMONOT,2016-09-01,58904
FRANCE,BELLES_DEMEURES,2016-09-01,19169
FRANCE,PROPRIETES_DE_FRANCE,2016-09-01,16476
FRANCE,LUX_RESIDENCE,2016-09-01,28300
FRANCE,BIEN_ICI,2016-09-01,812383
FRANCE,A_VENDRE_A_LOUER,2016-09-01,537239
FRANCE,EXPLORIMMO,2016-10-01,357978
FRANCE,LE_BON_COIN,2016-10-01,880275
FRANCE,LOGIC_IMMO,2016-10-01,715127
FRANCE,OUEST_FRANCE_IMMO,2016-10-01,161310
FRANCE,ANNONCES_JAUNES,2016-10-01,482209
FRANCE,PARU_VENDU,2016-10-01,287258
FRANCE,SE_LOGER,2016-10-01,807156
FRANCE,TOP_ANNONCES,2016-10-01,167754
FRANCE,PAP,2016-10-01,0
FRANCE,IMMONOT,2016-10-01,58021
FRANCE,BELLES_DEMEURES,2016-10-01,18173
FRANCE,PROPRIETES_DE_FRANCE,2016-10-01,16121
FRANCE,LUX_RESIDENCE,2016-10-01,27869
FRANCE,BIEN_ICI,2016-10-01,770973
FRANCE,A_VENDRE_A_LOUER,2016-10-01,543752
BRETAGE,EXPLORIMMO,2016-04-01,21095
BRETAGE,LE_BON_COIN,2016-04-01,57656
BRETAGE,LOGIC_IMMO,2016-04-01,33772
BRETAGE,OUEST_FRANCE_IMMO,2016-04-01,65482
BRETAGE,ANNONCES_JAUNES,2016-04-01,24267
BRETAGE,PARU_VENDU,2016-04-01,14091
BRETAGE,SE_LOGER,2016-04-01,31329
BRETAGE,TOP_ANNONCES,2016-04-01,18626
BRETAGE,PAP,2016-04-01,0
BRETAGE,IMMONOT,2016-04-01,20586
BRETAGE,BELLES_DEMEURES,2016-04-01,813
BRETAGE,PROPRIETES_DE_FRANCE,2016-04-01,735
BRETAGE,LUX_RESIDENCE,2016-04-01,284
BRETAGE,BIEN_ICI,2016-04-01,55070
BRETAGE,A_VENDRE_A_LOUER,2016-04-01,25885
BRETAGE,EXPLORIMMO,2016-05-01,21221
BRETAGE,LE_BON_COIN,2016-05-01,59441
BRETAGE,LOGIC_IMMO,2016-05-01,33713
BRETAGE,OUEST_FRANCE_IMMO,2016-05-01,69279
BRETAGE,ANNONCES_JAUNES,2016-05-01,24264
BRETAGE,PARU_VENDU,2016-05-01,13866
BRETAGE,SE_LOGER,2016-05-01,32006
BRETAGE,TOP_ANNONCES,2016-05-01,20535
BRETAGE,PAP,2016-05-01,0
BRETAGE,IMMONOT,2016-05-01,20530
BRETAGE,BELLES_DEMEURES,2016-05-01,871
BRETAGE,PROPRIETES_DE_FRANCE,2016-05-01,767
BRETAGE,LUX_RESIDENCE,2016-05-01,285
BRETAGE,BIEN_ICI,2016-05-01,65255
BRETAGE,A_VENDRE_A_LOUER,2016-05-01,25897
BRETAGE,EXPLORIMMO,2016-06-01,21113
BRETAGE,LE_BON_COIN,2016-06-01,61108
BRETAGE,LOGIC_IMMO,2016-06-01,35097
BRETAGE,OUEST_FRANCE_IMMO,2016-06-01,69637
BRETAGE,ANNONCES_JAUNES,2016-06-01,24885
BRETAGE,PARU_VENDU,2016-06-01,14081
BRETAGE,SE_LOGER,2016-06-01,33429
BRETAGE,TOP_ANNONCES,2016-06-01,19946
BRETAGE,PAP,2016-06-01,0
BRETAGE,IMMONOT,2016-06-01,20390
BRETAGE,BELLES_DEMEURES,2016-06-01,881
BRETAGE,PROPRIETES_DE_FRANCE,2016-06-01,670
BRETAGE,LUX_RESIDENCE,2016-06-01,282
BRETAGE,BIEN_ICI,2016-06-01,66847
BRETAGE,A_VENDRE_A_LOUER,2016-06-01,26660
BRETAGE,EXPLORIMMO,2016-07-01,20558
BRETAGE,LE_BON_COIN,2016-07-01,61949
BRETAGE,LOGIC_IMMO,2016-07-01,35726
BRETAGE,OUEST_FRANCE_IMMO,2016-07-01,69073
BRETAGE,ANNONCES_JAUNES,2016-07-01,24324
BRETAGE,PARU_VENDU,2016-07-01,15319
BRETAGE,SE_LOGER,2016-07-01,34224
BRETAGE,TOP_ANNONCES,2016-07-01,8011
BRETAGE,PAP,2016-07-01,0
BRETAGE,IMMONOT,2016-07-01,20172
BRETAGE,BELLES_DEMEURES,2016-07-01,931
BRETAGE,PROPRIETES_DE_FRANCE,2016-07-01,707
BRETAGE,LUX_RESIDENCE,2016-07-01,270
BRETAGE,BIEN_ICI,2016-07-01,68495
BRETAGE,A_VENDRE_A_LOUER,2016-07-01,26389
BRETAGE,EXPLORIMMO,2016-08-01,19946
BRETAGE,LE_BON_COIN,2016-08-01,60244
BRETAGE,LOGIC_IMMO,2016-08-01,35437
BRETAGE,OUEST_FRANCE_IMMO,2016-08-01,66929
BRETAGE,ANNONCES_JAUNES,2016-08-01,22489
BRETAGE,PARU_VENDU,2016-08-01,15820
BRETAGE,SE_LOGER,2016-08-01,34514
BRETAGE,TOP_ANNONCES,2016-08-01,8898
BRETAGE,PAP,2016-08-01,0
BRETAGE,IMMONOT,2016-08-01,19961
BRETAGE,BELLES_DEMEURES,2016-08-01,967
BRETAGE,PROPRIETES_DE_FRANCE,2016-08-01,759
BRETAGE,LUX_RESIDENCE,2016-08-01,273
BRETAGE,BIEN_ICI,2016-08-01,61383
BRETAGE,A_VENDRE_A_LOUER,2016-08-01,25040
BRETAGE,EXPLORIMMO,2016-09-01,18675
BRETAGE,LE_BON_COIN,2016-09-01,57785
BRETAGE,LOGIC_IMMO,2016-09-01,34222
BRETAGE,OUEST_FRANCE_IMMO,2016-09-01,63640
BRETAGE,ANNONCES_JAUNES,2016-09-01,22096
BRETAGE,PARU_VENDU,2016-09-01,15512
BRETAGE,SE_LOGER,2016-09-01,30689
BRETAGE,TOP_ANNONCES,2016-09-01,8639
BRETAGE,PAP,2016-09-01,0
BRETAGE,IMMONOT,2016-09-01,19379
BRETAGE,BELLES_DEMEURES,2016-09-01,881
BRETAGE,PROPRIETES_DE_FRANCE,2016-09-01,748
BRETAGE,LUX_RESIDENCE,2016-09-01,264
BRETAGE,BIEN_ICI,2016-09-01,52954
BRETAGE,A_VENDRE_A_LOUER,2016-09-01,24343
BRETAGE,EXPLORIMMO,2016-10-01,18151
BRETAGE,LE_BON_COIN,2016-10-01,56715
BRETAGE,LOGIC_IMMO,2016-10-01,33688
BRETAGE,OUEST_FRANCE_IMMO,2016-10-01,61624
BRETAGE,ANNONCES_JAUNES,2016-10-01,22240
BRETAGE,PARU_VENDU,2016-10-01,13912
BRETAGE,SE_LOGER,2016-10-01,30282
BRETAGE,TOP_ANNONCES,2016-10-01,7933
BRETAGE,PAP,2016-10-01,0
BRETAGE,IMMONOT,2016-10-01,18959
BRETAGE,BELLES_DEMEURES,2016-10-01,850
BRETAGE,PROPRIETES_DE_FRANCE,2016-10-01,758
BRETAGE,LUX_RESIDENCE,2016-10-01,245
BRETAGE,BIEN_ICI,2016-10-01,47692
BRETAGE,A_VENDRE_A_LOUER,2016-10-01,24372
